# Values shown are for the Exit End of each Element:
# Index  name      key                      s       l           b          b1        beta       alpha        beta       alpha
#                                                             max    gradient           a           a           b           b
      0  BEGINNING Beginning_Ele        0.000     ---         ---         ---  4.7461E+01 -1.1129E+00  4.4824E+01  1.0651E+00
      1  DU1M80CMA Drift                0.165   0.165         ---         ---  4.7829E+01 -1.1207E+00  4.4474E+01  1.0572E+00
      2  DWS36     Marker               0.165   0.000         ---         ---  4.7829E+01 -1.1207E+00  4.4474E+01  1.0572E+00
      3  DU1M80CMB Drift                0.384   0.219         ---         ---  4.8323E+01 -1.1310E+00  4.4013E+01  1.0468E+00
      4  BTM13     Instrument           0.384   0.000         ---         ---  4.8323E+01 -1.1310E+00  4.4013E+01  1.0468E+00
      5  DU1M80CMC Drift                4.550   4.166         ---         ---  5.8565E+01 -1.3275E+00  3.6118E+01  8.4842E-01
      6  DCX37     Drift                4.630   0.080         ---         ---  5.8777E+01 -1.3313E+00  3.5982E+01  8.4461E-01
      7  D32CMC    Drift                4.930   0.300         ---         ---  5.9582E+01 -1.3455E+00  3.5479E+01  8.3030E-01
      8  XCUM1     Kicker               4.930   0.000         ---         ---  5.9582E+01 -1.3455E+00  3.5479E+01  8.3030E-01
      9  DUM1A     Drift                5.420   0.490         ---         ---  6.0911E+01 -1.3686E+00  3.4677E+01  8.0697E-01
     10  QUM1#1    Quadrupole           5.580   0.160         --- -8.4339E+00  6.0935E+01  1.2246E+00  3.4655E+01 -6.7305E-01
     11  BPMUM1    Instrument           5.580   0.000         ---         ---  6.0935E+01  1.2246E+00  3.4655E+01 -6.7305E-01
     12  QUM1#2    Quadrupole           5.740   0.160         --- -8.4339E+00  6.0131E+01  3.7845E+00  3.5109E+01 -2.1714E+00
     13  DUM1B     Drift                6.211   0.470         ---         ---  5.6627E+01  3.6646E+00  3.7189E+01 -2.2480E+00
     14  D32CM     Drift                6.531   0.320         ---         ---  5.4308E+01  3.5830E+00  3.8644E+01 -2.3001E+00
     15  DU2M120CM Drift               11.261   4.730         ---         ---  2.6113E+01  2.3778E+00  6.4045E+01 -3.0701E+00
     16  DCY38     Drift               11.341   0.080         ---         ---  2.5734E+01  2.3574E+00  6.4537E+01 -3.0831E+00
     17  D32CMA    Drift               11.761   0.420         ---         ---  2.3797E+01  2.2503E+00  6.7159E+01 -3.1515E+00
     18  YCUM2     Kicker              11.761   0.000         ---         ---  2.3797E+01  2.2503E+00  6.7159E+01 -3.1515E+00
     19  DUM2A     Drift               12.131   0.370         ---         ---  2.2166E+01  2.1560E+00  6.9513E+01 -3.2118E+00
     20  QUM2#1    Quadrupole          12.291   0.160         ---  7.6440E+00  2.1617E+01  1.2827E+00  7.0112E+01 -5.2624E-01
     21  BPMUM2    Instrument          12.291   0.000         ---         ---  2.1617E+01  1.2827E+00  7.0112E+01 -5.2624E-01
     22  QUM2#2    Quadrupole          12.451   0.160         ---  7.6440E+00  2.1342E+01  4.4111E-01  6.9849E+01  2.1723E+00
     23  DUM2B     Drift               12.922   0.470         ---         ---  2.0939E+01  4.1478E-01  6.7823E+01  2.1337E+00
     24  DU3M80CM  Drift               20.212   7.290         ---         ---  1.7867E+01  6.7078E-03  4.1062E+01  1.5369E+00
     25  XCUM3     Kicker              20.212   0.000         ---         ---  1.7867E+01  6.7078E-03  4.1062E+01  1.5369E+00
     26  DUM3A     Drift               20.592   0.380         ---         ---  1.7870E+01 -1.4562E-02  3.9906E+01  1.5057E+00
     27  QUM3#1    Quadrupole          20.752   0.160         --- -5.8624E+00  1.7791E+01  5.0392E-01  3.9614E+01  3.2193E-01
     28  BPMUM3    Instrument          20.752   0.000         ---         ---  1.7791E+01  5.0392E-01  3.9614E+01  3.2193E-01
     29  QUM3#2    Quadrupole          20.912   0.160         --- -5.8624E+00  1.7548E+01  1.0129E+00  3.9700E+01 -8.5578E-01
     30  DUM3B     Drift               21.383   0.470         ---         ---  1.6621E+01  9.5856E-01  4.0514E+01 -8.7631E-01
     31  D40CMA    Drift               23.191   1.808         ---         ---  1.3532E+01  7.4983E-01  4.3826E+01 -9.5520E-01
     32  EOBLM     Marker              23.191   0.000         ---         ---  1.3532E+01  7.4983E-01  4.3826E+01 -9.5520E-01
     33  DU4M120CM Drift               24.553   1.363         ---         ---  1.1703E+01  5.9253E-01  4.6510E+01 -1.0147E+00
     34  YCUM4     Kicker              24.553   0.000         ---         ---  1.1703E+01  5.9253E-01  4.6510E+01 -1.0147E+00
     35  DUM4A     Drift               25.053   0.500         ---         ---  1.1139E+01  5.3481E-01  4.7535E+01 -1.0365E+00
     36  QUM4#1    Quadrupole          25.213   0.160         ---  6.1363E+00  1.1026E+01  1.7531E-01  4.7632E+01  4.3476E-01
     37  BPMUM4    Instrument          25.213   0.000         ---         ---  1.1026E+01  1.7531E-01  4.7632E+01  4.3476E-01
     38  QUM4#2    Quadrupole          25.373   0.160         ---  6.1363E+00  1.1027E+01 -1.8070E-01  4.7258E+01  1.8974E+00
     39  DUM4B     Drift               25.971   0.597         ---         ---  1.1276E+01 -2.3665E-01  4.5025E+01  1.8392E+00
     40  RFB07     Instrument          25.971   0.000         ---         ---  1.1276E+01 -2.3665E-01  4.5025E+01  1.8392E+00
