# Values shown are for the Exit End of each Element:
# Index  name    key                      s       l         s               L        gradient         voltage            phi0              rf
#                                                                                                                                   frequency
     45  L0A___1 Lcavity              1.518   0.059  1.517646  5.86460000E-02  1.87418797E+07  1.09913628E+06 -3.05555556E-03  2.85600000E+09
     47  L0A___2 Lcavity              1.717   0.199  1.717000  1.99354000E-01  1.87418797E+07  3.73626868E+06 -3.05555556E-03  2.85600000E+09
     49  L0A___3 Lcavity              2.366   0.649  2.366320  6.49319800E-01  1.87418797E+07  1.21694736E+07 -3.05555556E-03  2.85600000E+09
     52  L0A___4 Lcavity              3.007   0.640  3.006622  6.40302200E-01  1.87418797E+07  1.20004668E+07 -3.05555556E-03  2.85600000E+09
     54  L0A___5 Lcavity              4.158   1.152  4.158468  1.15184640E+00  1.87418797E+07  2.15877667E+07 -3.05555556E-03  2.85600000E+09
     57  L0A___6 Lcavity              4.493   0.335  4.493325  3.34856600E-01  1.87418797E+07  6.27584211E+06 -3.05555556E-03  2.85600000E+09
     59  L0A___7 Lcavity              4.554   0.061  4.554244  6.09190000E-02  1.87418797E+07  1.14173657E+06 -3.05555556E-03  2.85600000E+09
     76  L0B___1 Lcavity              5.362   0.059  5.361844  5.86460000E-02  2.29426458E+07  1.34549441E+06 -3.05555556E-03  2.85600000E+09
     78  L0B___2 Lcavity              5.699   0.337  5.698972  3.37128100E-01  2.29426458E+07  7.73461060E+06 -3.05555556E-03  2.85600000E+09
     81  L0B___3 Lcavity              6.851   1.152  6.850820  1.15184790E+00  2.29426458E+07  2.64264384E+07 -3.05555556E-03  2.85600000E+09
     83  L0B___4 Lcavity              8.002   1.152  8.002383  1.15156300E+00  2.29426458E+07  2.64199021E+07 -3.05555556E-03  2.85600000E+09
     86  L0B___5 Lcavity              8.338   0.335  8.337523  3.35140000E-01  2.29426458E+07  7.68899832E+06 -3.05555556E-03  2.85600000E+09
     88  L0B___6 Lcavity              8.398   0.061  8.398442  6.09190000E-02  2.29426458E+07  1.39764304E+06 -3.05555556E-03  2.85600000E+09
    127  TCAV0#1 Lcavity             11.147   0.334 11.147493  3.34011800E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    130  TCAV0#2 Lcavity             11.482   0.334 11.481505  3.34011800E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    216  K21_1B1 Lcavity             20.787   0.453 20.786650  4.53432000E-01  1.58223754E+07  7.17437134E+06 -5.97222222E-02  2.85600000E+09
    219  K21_1B2 Lcavity             23.202   2.416 23.202418  2.41576800E+00  1.58223754E+07  3.82231883E+07 -5.97222222E-02  2.85600000E+09
    225  K21_1C1 Lcavity             23.831   0.453 23.830764  4.53445800E-01  1.11881090E+07  5.07320102E+06 -5.97222222E-02  2.85600000E+09
    228  K21_1C2 Lcavity             26.247   2.416 26.246518  2.41575420E+00  1.11881090E+07  2.70277212E+07 -5.97222222E-02  2.85600000E+09
    234  K21_1D1 Lcavity             26.791   0.369 26.790753  3.69334800E-01  1.11881090E+07  4.13215799E+06 -5.97222222E-02  2.85600000E+09
    237  K21_1D2 Lcavity             28.798   2.007 28.797991  2.00723820E+00  1.11881090E+07  2.24571997E+07 -5.97222222E-02  2.85600000E+09
    239  K21_1D3 Lcavity             29.086   0.288 29.085563  2.87571600E-01  1.11881090E+07  3.21738240E+06 -5.97222222E-02  2.85600000E+09
    241  K21_1D4 Lcavity             29.466   0.380 29.465518  3.79955400E-01  1.11881090E+07  4.25098242E+06 -5.97222222E-02  2.85600000E+09
    248  L1X___1 Lcavity             30.056   0.297 30.056287  2.97400000E-01  3.36247478E+07  1.00000000E+07 -4.44444444E-01  1.14240000E+10
    251  L1X___2 Lcavity             30.354   0.297 30.353687  2.97400000E-01  3.36247478E+07  1.00000000E+07 -4.44444444E-01  1.14240000E+10
    344  K21_3B1 Lcavity             45.321   0.267 45.320774  2.67200000E-01  2.39021402E+07  6.38665187E+06 -9.30555556E-02  2.85600000E+09
    345  K21_3B2 Lcavity             48.098   2.777 48.097674  2.77690000E+00  2.39021402E+07  6.63738533E+07 -9.30555556E-02  2.85600000E+09
    346  K21_3C  Lcavity             51.142   3.044 51.141774  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    347  K21_3D  Lcavity             54.186   3.044 54.185874  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    353  K21_4A1 Lcavity             54.681   0.327 54.680674  3.26800000E-01  1.69013655E+07  5.52336623E+06 -9.30555556E-02  2.85600000E+09
    355  K21_4A2 Lcavity             55.051   0.371 55.051374  3.70700000E-01  1.69013655E+07  6.26533617E+06 -9.30555556E-02  2.85600000E+09
    357  K21_4A3 Lcavity             57.398   2.347 57.397974  2.34660000E+00  1.69013655E+07  3.96607442E+07 -9.30555556E-02  2.85600000E+09
    358  K21_4B  Lcavity             60.442   3.044 60.442074  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    359  K21_4C  Lcavity             63.486   3.044 63.486174  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    360  K21_4D  Lcavity             66.530   3.044 66.530274  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    366  K21_5A1 Lcavity             67.031   0.332 67.030674  3.32400000E-01  1.69013655E+07  5.61801388E+06 -9.30555556E-02  2.85600000E+09
    368  K21_5A2 Lcavity             67.408   0.378 67.408474  3.77800000E-01  1.69013655E+07  6.38533587E+06 -9.30555556E-02  2.85600000E+09
    370  K21_5A3 Lcavity             69.742   2.334 69.742374  2.33390000E+00  1.69013655E+07  3.94460968E+07 -9.30555556E-02  2.85600000E+09
    371  K21_5B  Lcavity             72.786   3.044 72.786474  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    372  K21_5C  Lcavity             75.831   3.044 75.830574  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    373  K21_5D  Lcavity             78.875   3.044 78.874674  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    379  K21_6A1 Lcavity             79.371   0.328 79.370674  3.28000000E-01  1.69013655E+07  5.54364787E+06 -9.30555556E-02  2.85600000E+09
    381  K21_6A2 Lcavity             79.759   0.389 79.759174  3.88500000E-01  1.69013655E+07  6.56618048E+06 -9.30555556E-02  2.85600000E+09
    383  K21_6A3 Lcavity             82.087   2.328 82.086774  2.32760000E+00  1.69013655E+07  3.93396182E+07 -9.30555556E-02  2.85600000E+09
    384  K21_6B  Lcavity             85.131   3.044 85.130874  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    385  K21_6C  Lcavity             88.175   3.044 88.174974  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    386  K21_6D  Lcavity             91.219   3.044 91.219074  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    392  K21_7A1 Lcavity             91.721   0.334 91.720674  3.33600000E-01  1.69013655E+07  5.63829552E+06 -9.30555556E-02  2.85600000E+09
    394  K21_7A2 Lcavity             91.971   0.250 91.970674  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    396  K21_7A3 Lcavity             94.431   2.461 94.431174  2.46050000E+00  1.69013655E+07  4.15858097E+07 -9.30555556E-02  2.85600000E+09
    397  K21_7B  Lcavity             97.475   3.044 97.475274  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    398  K21_7C  Lcavity            100.519   3.044 100.51937  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    399  K21_7D  Lcavity            103.563   3.044 103.56347  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    405  K21_8A1 Lcavity            104.061   0.329 104.06067  3.29200000E-01  1.69013655E+07  5.56392951E+06 -9.30555556E-02  2.85600000E+09
    407  K21_8A2 Lcavity            104.311   0.250 104.31067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    409  K21_8A3 Lcavity            106.776   2.465 106.77557  2.46490000E+00  1.69013655E+07  4.16601757E+07 -9.30555556E-02  2.85600000E+09
    410  K21_8B  Lcavity            109.820   3.044 109.81967  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    411  K21_8C  Lcavity            112.864   3.044 112.86377  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    412  K21_8D1 Lcavity            115.251   2.387 115.25067  2.38690000E+00  1.69013655E+07  4.03418692E+07 -9.30555556E-02  2.85600000E+09
    414  K21_8D2 Lcavity            115.501   0.250 115.50067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    416  K21_8D3 Lcavity            115.908   0.407 115.90787  4.07200000E-01  1.69013655E+07  6.88223601E+06 -9.30555556E-02  2.85600000E+09
    425  K22_1A  Lcavity            121.965   3.044 121.96477  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    426  K22_1B  Lcavity            125.009   3.044 125.00887  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    427  K22_1C  Lcavity            128.053   3.044 128.05297  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    428  K22_1D  Lcavity            131.097   3.044 131.09707  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    434  K22_2A1 Lcavity            131.591   0.326 131.59067  3.25600000E-01  1.69013655E+07  5.50308459E+06 -9.30555556E-02  2.85600000E+09
    436  K22_2A2 Lcavity            131.969   0.378 131.96887  3.78200000E-01  1.69013655E+07  6.39209642E+06 -9.30555556E-02  2.85600000E+09
    438  K22_2A3 Lcavity            134.309   2.340 134.30917  2.34030000E+00  1.69013655E+07  3.95542656E+07 -9.30555556E-02  2.85600000E+09
    439  K22_2B  Lcavity            137.353   3.044 137.35327  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    440  K22_2C  Lcavity            140.397   3.044 140.39737  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    441  K22_2D  Lcavity            143.441   3.044 143.44147  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    447  K22_3A1 Lcavity            143.941   0.331 143.94067  3.31200000E-01  1.69013655E+07  5.59773224E+06 -9.30555556E-02  2.85600000E+09
    449  K22_3A2 Lcavity            144.191   0.250 144.19067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    451  K22_3A3 Lcavity            146.654   2.463 146.65357  2.46290000E+00  1.69013655E+07  4.16263730E+07 -9.30555556E-02  2.85600000E+09
    452  K22_3B  Lcavity            149.698   3.044 149.69767  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    453  K22_3C  Lcavity            152.742   3.044 152.74177  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    454  K22_3D  Lcavity            155.786   3.044 155.78587  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    460  K22_4A1 Lcavity            156.281   0.327 156.28067  3.26800000E-01  1.69013655E+07  5.52336623E+06 -9.30555556E-02  2.85600000E+09
    462  K22_4A2 Lcavity            156.531   0.250 156.53067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
