BCX311 BEND:BSYH:880
BCX312 BEND:BSYH:882
BCX313 BEND:BSYH:884
BCX314 BEND:BSYH:886
BCX321 BEND:LTUH:300
BCX322 BEND:LTUH:301
BCX323 BEND:LTUH:302
BCX324 BEND:LTUH:303
BCX351 BEND:LTUH:375
BCX352 BEND:LTUH:376
BCX353 BEND:LTUH:377
BCX354 BEND:LTUH:378
BCX361 BEND:LTUH:505
BCX362 BEND:LTUH:506
BCX363 BEND:LTUH:507
BCX364 BEND:LTUH:508
BCXCBX11 BEND:UNDH:1330
BCXCBX12 BEND:UNDH:1355
BCXCBX13 BEND:UNDH:1360
BCXCBX14 BEND:UNDH:1375
BCXCBX21 BEND:UNDH:2130
BCXCBX22 BEND:UNDH:2155
BCXCBX23 BEND:UNDH:2160
BCXCBX24 BEND:UNDH:2175
BCXHS1 BEND:UNDH:2810
BCXHS2 BEND:UNDH:2830
BCXHS3 BEND:UNDH:2850
BCXHS4 BEND:UNDH:2870
BX01 BEND:IN20:661
BX02 BEND:IN20:751
BX11 BEND:LI21:215
BX12 BEND:LI21:231
BX13 BEND:LI21:241
BX14 BEND:LI21:261
BX21 BEND:LI24:720
BX22 BEND:LI24:790
BX23 BEND:LI24:810
BX24 BEND:LI24:880
BX31 BEND:LTUH:220
BX32 BEND:LTUH:280
BX35 BEND:LTUH:420
BX36 BEND:LTUH:480
BXH1 BEND:IN20:451
BXH2 BEND:IN20:461
BXH3 BEND:IN20:475
BXH4 BEND:IN20:481
BXKIK KICK:LI25:344
BY1 BEND:LTUH:125
BY2 BEND:LTUH:175
BYD1 BEND:DMPH:400
BYD2 BEND:DMPH:410
BYD3 BEND:DMPH:420
BYDSH BEND:DMPH:395
BYKIK1 KICK:LTUH:320
BYKIK2 KICK:LTUH:340
WIG1H BEND:LTUH:255
WIG2H BEND:LTUH:256
WIG3H BEND:LTUH:257
