Solid Edge,AREA,KeyW,ELEMENT,Eng_Name,L_EFF,APER,ANGLE,K1,K2,TILT,E1,E2,H1,H2,ENERGY,SUML,X Coor,Y Coor,Z Coor,X Angle,Y Angle,Z Angle,RF_Frequency,RF_Amplitude,RF_Phase,RF_Gradient,RF_Power_Fraction,Z_Length,Fringe_Field_Integral,Integrated_Field_BL,Field_B,Integrated_Field_Gradient_GL,Field_Gradient_G,XAL_Scale_Name,XAL_Scale_Value,XAL_Polarity,Magnet_X_Coor,Magnet_Y_Coor,Magnet_Z_Coor,Magnet_X_Angle,Magnet_Y_Angle,Magnet_Z_Angle,Solenoid_Strength_KS,Undulator_Period_Length,Undulator_Strength_K,X_Size,Y_Size,Section,Distance_From_Section_Start,XAL_Keyword,S_Display
,,,,,m,m,deg,1/m^2,1/m^3,deg,deg,deg,1/m,1/m,GeV,m,m,m,m,rad,rad,rad,MHz,MeV,deg,MeV/m,1,m,1,kG-m,T,kG,T/m,,,,m,m,m,rad,rad,rad,1/m,m,1,m,m,,m,,m
2793,SPD,INST,BEGSPD_1,,,,,,,,,,,,4.0,0.0,-2.67718047E2,-0.650494,1.89934,0.0,0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.780276003E3
2812,SPD,BPM,BPMSPH,Stripline-5,0.0,,,,,,,,,,4.0,9.704627,-2.58013526E2,-0.650494,1.854034,0.0,0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78998063E3
2817,SPD,BPM,BPMSP1,Stripline-5,0.0,,,,,,,,,,4.0,46.523172,-2.21195382E2,-0.650494,1.682146,0.0,0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.826799175E3
2820,SPD,QUAD,QSP1,2Q10,0.263,0.0514,,0.5273873311,,0.0,,,,,4.0,68.8575,-1.98861298E2,-0.650494,1.577879,0.0,0.4669E-2,0.0,,,,,,,,,,18.506518525891,-7.036699059274,,,,,,,,,,,,,,,,,,2.849133503E3
2823,SPD,XCOR,XCSP1,class-4,0.0,,,,,,,,,,4.0,69.5803,-1.98138505E2,-0.650494,1.574504,0.0,0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.849856303E3
2825,SPD,BPM,BPMSP2,Stripline-5,0.0,,,,,,,,,,4.0,70.277139,-1.97441674E2,-0.650494,1.571251,0.0,0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.850553142E3
2827,SPD,QUAD,QSP2,2Q10,0.263,0.0514,,-0.5218304253,,0.0,,,,,4.0,70.9205,-1.9679832E2,-0.650494,1.568248,0.0,0.4669E-2,0.0,,,,,,,,,,-18.311521463827,6.962555689668,,,,,,,,,,,,,,,,,,2.851196503E3
2830,SPD,YCOR,YCSP2,class-4,0.0,,,,,,,,,,4.0,71.4805,-1.96238326E2,-0.650494,1.565633,0.0,0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.851756503E3
2832,SPD,INST,ENDSPD_1,,,,,,,,,,,,4.0,87.176,-1.80542997E2,-0.650494,1.492359,0.0,0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.867452003E3
2833,SPS,INST,BEGSPS,,,,,,,,,,,,4.0,87.176,-1.80542997E2,-0.650494,1.492359,0.0,0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.867452003E3
2834,*SPS,KICK,BKYSP0S,0.787K35.4,1.0,0.02,0.0,0.0,,90.000000011752,0.0,0.0,,,4.0,87.676,-1.80043003E2,-0.650494,1.490025,0.0,0.4669E-2,0.0,,,,,,1.0,0.5,0.0,0.0,0.0,0.0,,,,-1.80043003E2,-0.650494,1.490425,0.0,0.4669E-2,0.0,,,,,,,,,2.867952003E3
2837,SPS,KICK,BKYSP1S,0.787K35.4,1.0,0.02,-0.014323943687,0.0,,90.000000011752,0.0,-0.014323943687,,,4.0,88.97600001,-1.78743017E2,-0.650494,1.483987,0.0,0.4544E-2,0.0,,,,,,1.0,0.5,-0.033356406472,0.333564064724E-2,0.0,0.0,,,,-1.78743017E2,-0.650494,1.484355,0.0,0.4669E-2,0.0,,,,,,,,,2.869252003E3
2840,SPS,KICK,BKYSP2S,0.787K35.4,1.0,0.02,-0.01432394458,0.0,,90.000000011752,0.014323943687,-0.028647888267,,,4.0,90.27600006,-1.77443029E2,-0.650494,1.478243,0.0,0.4294E-2,0.0,,,,,,1.0,0.5,-0.033356408554,0.333564085538E-2,0.0,0.0,,,,-1.77443031E2,-0.650494,1.478286,0.0,0.4669E-2,0.0,,,,,,,,,2.870552003E3
2843,SPS,KICK,BKYSP3S,0.787K35.4,1.0,0.02,-0.014323946368,0.0,,90.000000011752,0.028647888267,-0.042971834635,,,4.0,91.57600023,-1.7614304E2,-0.650494,1.472824,0.0,0.4044E-2,0.0,,,,,,1.0,0.5,-0.033356412717,0.333564127167E-2,0.0,0.0,,,,-1.76143045E2,-0.650494,1.472217,0.0,0.4669E-2,0.0,,,,,,,,,2.871852003E3
2846,*SPS,KICK,BKYSP4S,0.787K35.4,1.0,0.02,0.0,0.0,,90.000000011752,0.0,0.0,,,4.0,92.87600055,-1.7484305E2,-0.650494,1.467698,0.0,0.3919E-2,0.0,,,,,,1.0,0.5,0.0,0.0,0.0,0.0,,,,-1.74843059E2,-0.650494,1.466148,0.0,0.4669E-2,0.0,,,,,,,,,2.873152003E3
2849,*SPS,KICK,BKYSP5S,1.378K35.4,1.0,0.035,0.0,0.0,,90.000000011752,0.0,0.0,,,4.0,94.17600092,-1.7354306E2,-0.650494,1.462604,0.0,0.3919E-2,0.0,,,,,,1.0,0.5,0.0,0.0,0.0,0.0,,,,-1.73543073E2,-0.650494,1.460079,0.0,0.4669E-2,0.0,,,,,,,,,2.874452003E3
2852,SPS,BPM,BPMSPS?,Stripline-5,0.0,,,,,,,,,,4.0,96.90216519,-1.70816916E2,-0.650494,1.451922,0.0,0.3919E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.877178166E3
2854,SPS,SEPT,BLXSPS,0.625SD38.98,1.000021,0.0159,0.63343047705,0.0,,0.0,0.0,0.633430477222,,,4.0,1.10276008E2,-1.57443179E2,-0.651876,1.399516,-0.22E-4,0.3918E-2,-0.5528E-2,,,,,,1.0,0.5,1.475080112494,-0.147504913646,0.0,0.0,,,,-1.57443249E2,-0.650494,1.384516,0.0,0.4669E-2,0.0,,,,,,,,,2.890552003E3
